"L_City","total_listings","total_open_houses","pct_with_openhouse"
Los Angeles,2879,772,26.8
San Diego,1486,415,27.9
San Jose,546,278,50.9
Palm Desert,808,202,25.0
Irvine,454,182,40.1
Palm Springs,726,182,25.1
Rancho Mirage,407,137,33.7
La Quinta,510,132,25.9
Long Beach,442,129,29.2
Oakland,334,122,36.5
Huntington Beach,196,97,49.5
Indio,553,95,17.2
Riverside,409,95,23.2
Corona,330,92,27.9
Murrieta,341,83,24.3
Oceanside,267,83,31.1
Carlsbad,190,80,42.1
Santa Monica,188,72,38.3
Fremont,127,69,54.3
Menifee,319,67,21.0
