"L_City","active_listings","avg_active_price","avg_sold_price","pct_above_historical"
Laguna Beach,142,8655847,1261785.0,586.0
Carpinteria,16,16073438,2414591.0,565.7
Newport Coast,43,18537718,2976147.0,522.9
Beverly Hills,249,13530298,2425485.0,457.8
Malibu,257,9652135,1797583.0,437.0
Lake Hughes,13,1735342,343772.0,404.8
Santa Margarita,10,1021890,204036.0,400.8
Dana Point,91,4811027,1094271.0,339.7
Coto de Caza,31,7423581,1808196.0,310.6
San Miguel,11,2819273,695531.0,305.3
Santa Monica,188,3819387,964498.0,296.0
Bloomington,20,1890335,497375.0,280.1
Whitewater,11,435435,117233.0,271.4
West Hollywood,198,2167749,585571.0,270.2
Venice,80,3242042,896404.0,261.7
Thermal,46,1078063,299186.0,260.3
Fairfield,36,2219926,637430.0,248.3
Los Angeles,2879,2880318,835497.0,244.7
Oak View,10,3380900,994472.0,240.0
Hidden Hills,29,15922828,4818722.0,230.4
